# Mother Cluster: 
# Cluster size: 2766
# Cluster nr: 84
# At Cut: 0.00105863505
# Number of Children (surviving cluster size threshold): 8
# Number of Clusters in misc. cluster: 81
# ...totalling in 28.1 % of mothers size
Children clusters: 
cluster_sizes cluster_numbers
64 1055
62 1091
62 1073
58 1029
56 1077
48 1087
40 1042
38 1081
filtered clusters: 
cluster_sizes cluster_numbers
34 1045
31 1023
29 1060
24 1032
20 1085
19 1039
18 1082
18 1031
17 1041
16 1092
16 1064
16 1036
15 1094
15 1088
14 1070
13 1089
13 1052
12 1059
12 1028
11 1084
11 1040
11 1035
11 1027
11 1026
10 1086
10 1078
9 1102
9 1083
9 1076
9 1074
9 1063
8 1101
8 1093
8 1058
8 1054
8 1048
8 1034
8 1033
8 1024
7 1100
7 1098
7 1080
7 1075
7 1057
7 1056
7 1051
7 1046
6 1111
6 1109
6 1108
6 1104
6 1103
6 1097
6 1096
6 1072
6 1069
6 1068
6 1053
6 1049
6 1037
6 1025
5 1110
5 1107
5 1106
5 1105
5 1099
5 1095
5 1090
5 1079
5 1071
5 1067
5 1066
5 1065
5 1062
5 1061
5 1050
5 1047
5 1044
5 1043
5 1038
5 1030
